58150  120.25   33.77    7  192
    1005    9999      26      24     115       3
    1000       5      26      23     120       3
     925      73      23      21     180       4
     918    9999      23      21    9999    9999
     853    9999      22      10    9999    9999
     850     147      22      10     180       2
     713    9999      13      -7    9999    9999
     700     313      12      -4     275       5
     661    9999      10       0    9999    9999
     648    9999       9      -8    9999    9999
     600    9999       5      -1    9999    9999
     564    9999       3     -12    9999    9999
     544    9999       1      -8    9999    9999
     500     587      -3     -26     260      14
     488    9999      -4     -35    9999    9999
     458    9999      -7     -28    9999    9999
     404    9999     -14     -30    9999    9999
     400     760     -14     -25     270      19
     384    9999     -17     -23    9999    9999
     347    9999     -22     -25    9999    9999
     316    9999     -26     -35    9999    9999
     300     972     -29     -37     285      25
     290    9999     -30     -38    9999    9999
     250    1100     -39     -47     295      29
     200    1250     -50     -64     310      39
     185    9999     -54     -68    9999    9999
     171    9999     -56     -70    9999    9999
     150    1433     -63    9999     290      24
     132    9999     -69    9999    9999    9999
     110    9999     -72    9999    9999    9999
     105    9999     -70    9999    9999    9999
     100    1675     -72    9999     305      17
